"Index","X","Y","Error"
"77","104.138","211.79","0.133166006834954"
"78","103.229","211.508","0.110605456015925"
"79","100.658","210.292","0.0891615904328039"
"80","99.901","209.645","0.0233403564357805"
"81","97.546","207.5","0.0679070411824217"
"82","97.144","206.815","0.0164846855050769"
"83","95.948","204.737","0.0247572293028677"
"84","95.693","203.671","0.11116223103491"
"85","95.242","202.242","0.028890955166576"
"86","95.242","202.242","0.028890955166576"
"87","95.242","202.242","0.028890955166576"
"88","95.242","202.242","0.028890955166576"
"89","95.242","202.242","0.028890955166576"
"90","95.242","202.242","0.028890955166576"
"91","95.242","202.242","0.028890955166576"
"92","95.242","202.242","0.028890955166576"
"93","95.242","202.242","0.028890955166576"
"94","95.242","202.242","0.028890955166576"
"95","95.046","201.886","0.10305878825516"
"96","95.046","201.886","0.10305878825516"
"97","95.046","201.886","0.10305878825516"
"98","95.046","201.886","0.10305878825516"
"99","95.046","201.886","0.10305878825516"
"100","95.046","201.886","0.10305878825516"
"101","95.046","201.886","0.10305878825516"
"102","95.046","201.886","0.10305878825516"
"103","95.046","201.886","0.10305878825516"
"104","95.046","201.886","0.10305878825516"
"105","95.186","201.516","0.0879234834495011"
"106","95.186","201.516","0.0879234834495011"
"107","95.186","201.516","0.0879234834495011"
"108","95.186","201.516","0.0879234834495011"
"109","95.186","201.516","0.0879234834495011"
"110","95.186","201.516","0.0879234834495011"
"111","95.186","201.516","0.0879234834495011"
"112","95.186","201.516","0.0879234834495011"
"113","95.186","201.516","0.0879234834495011"
"114","95.186","201.516","0.0879234834495011"
"115","94.99","201.158","0.066771834445762"
"116","94.99","201.158","0.066771834445762"
"117","94.99","201.158","0.066771834445762"
"118","94.99","201.158","0.066771834445762"
"119","94.99","201.158","0.066771834445762"
"120","94.99","201.158","0.066771834445762"
"121","94.99","201.158","0.066771834445762"
"122","94.99","201.158","0.066771834445762"
"123","94.99","201.158","0.066771834445762"
"124","94.99","201.158","0.066771834445762"
"125","95.129","200.787","0.101925002014106"
"126","95.129","200.787","0.101925002014106"
"127","95.129","200.787","0.101925002014106"
"128","95.129","200.787","0.101925002014106"
"129","95.129","200.787","0.101925002014106"
"130","95.129","200.787","0.101925002014106"
"131","95.129","200.787","0.101925002014106"
"132","95.129","200.787","0.101925002014106"
"133","95.129","200.787","0.101925002014106"
"134","95.129","200.787","0.101925002014106"
"135","94.933","200.427","0.0754095851079953"
"136","94.933","200.427","0.0754095851079953"
"137","94.933","200.427","0.0754095851079953"
"138","94.933","200.427","0.0754095851079953"
"139","94.933","200.427","0.0754095851079953"
"140","94.933","200.427","0.0754095851079953"
"141","94.933","200.427","0.0754095851079953"
"142","94.933","200.427","0.0754095851079953"
"143","94.933","200.427","0.0754095851079953"
"144","94.933","200.427","0.0754095851079953"
"145","92.232","200.148","0.147999999999996"
"146","90.229","200.206","0.205999999999989"
"147","85.374","199.944","0.0560000000000116"
"148","83.554","200.345","0.344999999999999"
"149","76.467","200.593","0.592999999999989"
"150","75.216","200.781","0.215999999999994"
"151","75.216","200.781","0.215999999999994"
"152","75.216","200.781","0.215999999999994"
"153","75.049","200.409","0.0490000000000066"
"154","75.049","200.409","0.0490000000000066"
